City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
289,Yar-Sale,RU,66.8333,70.8333,35.83,100,100,11.99,overcast clouds
290,Ippy,CF,6.2679,21.2247,72.21,86,100,3.58,overcast clouds
291,Alice Town,BS,25.7167,-79.3,80.47,72,40,9.86,scattered clouds
292,San Ignacio,BZ,17.1561,-89.0714,79.48,91,100,3.85,overcast clouds
293,Broken Hill,AU,-31.95,141.4333,58.77,47,5,11.1,clear sky
294,Sain Alto,MX,23.5833,-103.25,75.43,14,100,17.27,overcast clouds
295,Goundam,ML,16.4145,-3.6708,84.92,7,0,11.65,clear sky
296,Poum,NC,-20.2333,164.0167,78.01,58,100,16.58,overcast clouds
297,Batagay-Alyta,RU,67.8006,130.4114,26.44,87,100,12.77,light snow
298,Gigmoto,PH,13.7796,124.39,84.74,73,46,9.17,scattered clouds
299,Grand Baie,MU,-20.0182,57.5802,71.46,81,1,1.01,clear sky
300,Harper,LR,4.375,-7.7169,77.22,88,98,3.31,light rain
301,Ararangua,BR,-28.9347,-49.4858,57.09,94,7,3.11,clear sky
302,Svetlyy,RU,54.675,20.1347,39.96,73,61,8.41,broken clouds
303,Keuruu,FI,62.2667,24.7,34.81,76,100,4.52,overcast clouds
304,Mar Del Plata,AR,-38.0023,-57.5575,63.88,81,0,8.05,light rain
305,Walvis Bay,NA,-22.9575,14.5053,58.64,67,0,6.46,clear sky
306,Pontianak,ID,-0.0333,109.3333,78.78,88,20,4.61,few clouds
307,Porto Torres,IT,40.835,8.3972,59.09,80,61,3.53,broken clouds
308,Pimentel,PE,-6.8367,-79.9342,64.85,88,90,17.78,overcast clouds
309,Sinnamary,GF,5.3833,-52.95,78.08,86,75,10.18,broken clouds
310,Upernavik,GL,72.7868,-56.1549,8.1,82,16,4.38,few clouds
311,Talnakh,RU,69.4865,88.3972,20.21,92,100,12.62,overcast clouds
312,Gornopravdinsk,RU,60.05,69.9,48.7,81,61,5.08,broken clouds
313,Mago,RU,53.2514,140.1822,42.51,66,100,13.56,light rain
314,Port Keats,AU,-14.25,129.55,86.9,31,3,12.44,clear sky
315,Fairbanks,US,64.8378,-147.7164,47.08,52,75,5.75,broken clouds
316,Newport,GB,51.5877,-2.9984,52.68,82,100,4.34,overcast clouds
317,Hovd,MN,48.0056,91.6419,31.75,66,100,5.32,overcast clouds
318,Mandalgovi,MN,45.7625,106.2708,44.19,45,53,26.93,broken clouds
319,Goderich,CA,43.7501,-81.7165,51.91,59,99,13.69,overcast clouds
320,Ancud,CL,-41.8697,-73.8203,48.38,94,45,5.79,scattered clouds
321,Lagoa,PT,39.05,-27.9833,61.59,85,86,9.19,overcast clouds
322,Conde,BR,-7.2597,-34.9075,74.66,88,40,6.91,scattered clouds
323,Mongo,TD,12.1844,18.693,91.99,19,45,3.58,scattered clouds
324,Tubmanburg,LR,6.8708,-10.8172,74.41,97,100,0.54,overcast clouds
325,Puerto Ayacucho,VE,5.6639,-67.6236,75.99,91,100,2.89,overcast clouds
326,Mapiripan,CO,2.8892,-72.1256,73.65,92,99,3.36,overcast clouds
327,Qasigiannguit,GL,68.8193,-51.1922,23.25,93,6,6.51,clear sky
328,Magdalena,PH,14.1999,121.429,88.36,54,17,9.73,few clouds
329,Tandil,AR,-37.3217,-59.1332,60.69,88,100,5.46,overcast clouds
330,Pavagada,IN,14.1,77.2667,82.65,54,91,11.63,overcast clouds
331,Saldanha,ZA,-33.0117,17.9442,56.19,86,62,5.19,broken clouds
332,Paciran,ID,-6.8767,112.3761,83.57,75,93,1.74,overcast clouds
333,Dali,CN,25.7,100.1833,68.31,62,16,4.85,few clouds
334,Balakhta,RU,55.38,91.6,41.0,31,0,9.82,clear sky
335,Muros,ES,42.7762,-9.0603,58.15,76,71,3.91,broken clouds
336,Kandi,BJ,11.1342,2.9386,78.44,69,100,5.59,light rain
337,Lhokseumawe,ID,5.1801,97.1507,80.08,85,100,2.37,light rain
338,Inyonga,TZ,-6.7167,32.0667,62.76,83,100,4.94,overcast clouds
339,Ilulissat,GL,69.2167,-51.1,23.02,86,75,0.0,broken clouds
340,Matina,CR,10.0761,-83.2895,79.43,90,57,3.31,broken clouds
341,Shahabad,IN,27.65,79.95,90.45,32,0,14.88,clear sky
342,Cobija,BO,-11.0267,-68.7692,74.34,75,58,1.48,broken clouds
343,Cap Malheureux,MU,-19.9842,57.6142,71.47,81,0,1.01,clear sky
344,Iquique,CL,-20.2208,-70.1431,62.64,77,30,6.58,scattered clouds
