City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
260,Aljezur,PT,2022-05-07 04:21:26,37.3191,-8.8033,57.76,63,58,7.2
261,Umba,RU,2022-05-07 04:21:26,66.6871,34.3429,37.98,87,63,9.71
262,Belmonte,BR,2022-05-07 04:21:27,-15.8631,-38.8828,75.63,82,81,6.42
263,Killybegs,IE,2022-05-07 04:21:27,54.6333,-8.45,48.61,96,26,2.95
264,Pilar,BR,2022-05-07 04:21:28,-9.5972,-35.9567,73.33,92,25,1.25
265,Sosua,DO,2022-05-07 04:21:28,19.7667,-70.5167,73.38,88,16,4.56
266,Igarka,RU,2022-05-07 04:21:28,67.4667,86.5833,26.19,80,100,19.95
267,Bethel,US,2022-05-07 04:21:29,41.3712,-73.414,51.91,92,100,8.05
268,Brive-La-Gaillarde,FR,2022-05-07 04:21:29,45.25,1.5,48.27,29,68,2.66
269,Nishihara,JP,2022-05-07 04:21:30,26.1842,127.7558,83.48,74,75,11.5
270,Susehri,TR,2022-05-07 04:21:30,40.1644,38.0867,42.35,94,100,4.41
271,San Jose,US,2022-05-07 04:19:07,37.3394,-121.895,64.76,73,75,11.5
272,A Coruna,ES,2022-05-07 04:22:31,43.3713,-8.396,53.89,83,0,4.61
273,Bitam,GA,2022-05-07 04:22:31,2.076,11.5007,68.16,99,100,2.21
274,Puerto Lempira,HN,2022-05-07 04:22:32,15.2667,-83.7667,77.11,90,72,7.65
275,Coruripe,BR,2022-05-07 04:22:32,-10.1256,-36.1756,76.12,82,23,6.26
276,Amapa,BR,2022-05-07 04:22:33,1.0,-52.0,71.62,99,100,1.14
277,Stornoway,GB,2022-05-07 04:22:33,58.2093,-6.3865,37.36,93,40,1.14
278,Tura,IN,2022-05-07 04:22:34,25.5198,90.2201,86.29,53,9,1.14
279,Tongren,CN,2022-05-07 04:22:34,27.7172,109.1853,71.1,88,100,1.7
280,Gizo,SB,2022-05-07 04:22:35,-8.103,156.8419,85.55,68,100,3.6
281,Letlhakane,BW,2022-05-07 04:22:35,-21.4167,25.5833,60.58,44,1,6.42
282,Quatre Cocos,MU,2022-05-07 04:22:36,-20.2078,57.7625,79.09,67,3,15.37
283,Redcliffe,AU,2022-05-07 04:22:36,-27.2307,153.0973,75.15,69,75,0.0
284,Benemerito De Las Americas,MX,2022-05-07 04:22:37,16.5167,-90.6439,75.42,94,75,0.96
285,Sungairaya,ID,2022-05-07 04:22:38,0.7,108.9,86.81,65,92,2.39
286,Vanimo,PG,2022-05-07 04:22:38,-2.6741,141.3028,85.15,74,61,9.15
287,Saint-Philippe,RE,2022-05-07 04:22:39,-21.3585,55.7679,74.79,83,47,12.1
288,Pondicherry,IN,2022-05-07 04:22:40,11.93,79.83,84.58,70,40,5.75
289,Amberley,US,2022-05-07 04:22:40,39.2048,-84.428,55.54,93,100,10.36
290,Khatanga,RU,2022-05-07 04:22:41,71.9667,102.5,15.78,86,94,17.29
291,Meulaboh,ID,2022-05-07 04:22:42,4.1363,96.1285,80.73,82,100,7.47
